xml:id	chars	head	bibl
MG-1673-06_061	1652	[Distribution des Prix de l’Académie Françoise le jour de la S. Louis […]]	Le Mercure Galant, tome VI, 1673, p. 61-65.
MG-1673-06_065	1351	[Mort de M. l’Abbé d’Aubignac. Noms de ceux de son Academie qui en pouroient estre Directeurs]	Le Mercure Galant, tome VI, 1673, p. 65-67.
MG-1673-06_078	4583	[Elegie sur une joüissance, en songe]	Le Mercure Galant, tome VI, 1673, p. 78-88.
MG-1673-06_088	2229	[Vers sur l’Histoire du Moineau du cinquième Tome du Mercure Galant]	Le Mercure Galant, tome VI, 1673, p. 88-91.
MG-1673-06_091	3785	[Lettre à une Dame de Nimegue, touchant ce que l’Autheur pensoit de toutes les Femmes de Holande]	Le Mercure Galant, tome VI, 1673, p. 91-100.
MG-1673-06_100	4053	L’Echange. Nouvelle	Le Mercure Galant, tome VI, 1673, p. 100-109.
MG-1673-06_109	6355	[Eglogue de Celimene et d’Amarillis]	Le Mercure Galant, tome VI, 1673, p. 109-123.
MG-1673-06_123	9711	Le Divorce de l’Amour & de l’Hymenée	Le Mercure Galant, tome VI, 1673, p. 123-139.
MG-1673-06_139	11209	La Folie. Nouvelle singulière	Le Mercure Galant, tome VI, 1673, p. 139-164.
MG-1673-06_164	5797	Articles d’Union entre Licidas & Arelise	Le Mercure Galant, tome VI, 1673, p. 164-176.
MG-1673-06_188	497	[L’Academie Françoise vient faire compliment au Roy sur son heureux retour, la parole portée par M. Talement, Prieur de Saint Albin]	Le Mercure Galant, tome VI, 1673, p. 188-189.
MG-1673-06_189	671	[Distribution de trois Jettons d’argent qui se fait trois fois la semaine en ladite compagnie par l’ordre de Sa Majesté]	Le Mercure Galant, tome VI, 1673, p. 189-190.
MG-1673-06_195	2968	Avanture d’un bel Esprit	Le Mercure Galant, tome VI, 1673, p. 195-202.
MG-1673-06_202	2100	[Démarate de Claude Boyer] *	Le Mercure Galant, tome VI, 1673, p. 202-206.
MG-1673-06_207	18266	Les Femmes sont souvent cause de la perte des Hommes. Nouvelle	Le Mercure Galant, tome VI, 1673, p. 207-248.
MG-1673-06_248	1244	[La troupe du roy represente le Comedien Poëte, Comedie]	Le Mercure Galant, tome VI, 1673, p. 248-250.
MG-1673-06_250	7424	Les Assassinats. Nouvelle	Le Mercure Galant, tome VI, 1673, p. 250-267.
MG-1673-06_270	746	[Les manteaux à la Sylvie] *	Le Mercure Galant, tome VI, 1673, p. 270-272.
MG-1673-06_272	2533	Stances	Le Mercure Galant, tome VI, 1673, p. 272-277.
MG-1673-06_277	1039	[Vers sur le secret des affaires du Roy]	Le Mercure Galant, tome VI, 1673, p. 277-279.
MG-1673-06_279	1552	Fable de la Jument & de l’Asne	Le Mercure Galant, tome VI, 1673, p. 279-283.
MG-1677-03_001	10819	[Conversation sur le sujet du Mercure]	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 1-26.
MG-1677-03_026	8967	[Lettre sur tout ce qui a paru au Theatre François & Italien depuis le premier de Janvier]	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 26-46.
MG-1677-03_047	3738	[Vers de M. de Corneille l’aisné, au Roy]	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 47-54
MG-1677-03_054	3202	[Bal de l’Inconnu]	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 54-62.
MG-1677-03_062	1090	[Bals de Monsieur le Prince de Furstemberg, & son Mariage avec Mademoiselle de Ligny]	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 62-64.
MG-1677-03_064	2409	[Bal de Monsieur de Chasteauneuf, Conseiller au Parlement]	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 64-69.
MG-1677-03_069	1193	[Divertissemens donnez au Public par Monsieur Olier-Verneüil, Conseiller au mesme Corps]	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 69-72.
MG-1677-03_076	684	[Bal chez M. de Menevillette]	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 76-77.
MG-1677-03_077	823	[Bal chez M. du Housset]	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 77-79.
MG-1677-03_079	364	[Bal chez M. Ranchain]	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 79-80.
MG-1677-03_088	7194	Requeste de l’Amour, au Roy. Sur le bruit de son Départ pour l’Armée	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 88-104.
MG-1677-03_128	2692	[Reception de M. le President de Mesmes en l’Academie Françoise, & tout ce qu’il s’y est passé]	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 128-134.
MG-1677-03_139	5764	[Lettre en Vers d’une Amante à son Amant, sur ce qu’il se preparoit à partir pour l’Armée]	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 139-152.
MG-1677-03_167	1288	[Vers sur le Départ de Sa Majesté]	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 168-170.
MG-1677-03_174	800	[Siege de Valenciennes, contennant plusieurs Particularitez qui n’ont point encore esté sçeuës]*	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, extrait p. 174-175.
MG-1677-03_205	523	[Feu d’Artifice chez M. le President de Pomereuïl]	Le Nouveau Mercure Galant, janvier-mars, tome I, 1677, p. 205.
MG-1677-04_005	3692	[Histoire de l’heureux Hipocrite]	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 5-13.
MG-1677-04_015	1813	[Mort du Sieur Cambert, qui avoit étably les Opera en France & en Angleterre ; Mort du Sieur Le Camus, de la Musique du Roy]*	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 15-19.
MG-1677-04_021	17428	[La Maladie de l’Amour, Galanterie nouvelle, meslée de Prose & de Vers]	Le Nouveau Mercure Galant, avril, tome II, p. 21-58.
MG-1677-04_073	3749	[Discours sur la Preface de la Phedre du Sieur Pradon]	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 73-81.
MG-1677-04_081	1249	[Spectacles preparez pour le Public]	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 81-84.
MG-1677-04_084	3980	[Avanture de l’Epée]	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 84-92.
MG-1677-04_096	1873	[Belle Harangue du Greffier de Valenciennes au Roy]	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 96-100.
MG-1677-04_100	1267	[Réponse du Roy à la Lettre de Monsieur le Mareschal de la Ferté, sur la prise de Valenciennes]	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 100-103.
